ID,活动时间,活动名称,活动职能,表现形式,学科媒介,活动组织类型,系列标签,活动性质1,活动性质2,活动性质3,活动领域,活动主题标签,活动地点,策划人
ID_0905,2015.05.28,AMNUA毕业生丨设院平面陆家东：我觉得我要开始为这个地方做点什么,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0906,2015.05.28,AMNU毕业展丨平面设计作品“界-山海经”+“来自西藏的灵感—间·幻·觉·转”,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,作者:王玲玲指导教师：赵清本作品以“界”为题，将《山海经》中所诠释的奇异物种——“人首兽身”重; 作者:王玲玲; 作者:周明敏
ID_0907,2015.05.28,AMNUA专题丨艺术范＆黄京：尽量别让人注意到我,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:南美小白
ID_0908,2015.05.29,AMNUA毕业展丨我们,展览,线下展览,影像,独立活动,N/A,艺术展览,N/A,影像,纯艺术,N/A,N/A,N/A
ID_0909,2015.05.29,AMNUA专题丨艺术范＆颜永佳：尽量别让人注意到我,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:文刀米
ID_0910,2015.05.30,AMNUA毕业展丨设院毕业作品说明书（二）,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,作者:陆家东
ID_0911,2015.05.30,AMNUA毕业生丨工设产品设计邹淑姝《V-MAX户外运动炊具系列》,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0912,2015.05.30,AMNUA专题丨艺术范＆冉冉：艺术没有范,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:文刀米
ID_0913,2015.05.31,AMNUA生活丨美术馆咖啡厅•夏夜的啤酒、爆米花和露天电影,其他,N/A,动画,独立活动,N/A,其他,N/A,动画,纯艺术,N/A,N/A,N/A
ID_0914,2015.05.31,AMNUA毕业生丨江玥：有空闲时间出门走走,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0915,2015.05.31,AMNUA专题丨艺术范＆周钦珊“衬衫打天下”,其他,N/A,油画,独立活动,N/A,其他,N/A,油画,纯艺术,N/A,N/A,作者:南美小白
ID_0916,2015.06.01,AMNUA六一人物丨画画的Cherryni和她的小世界,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0917,2015.06.01,AMNUA六一人物丨梁四口：天气这么好，没想过会变老,其他,N/A,漫画,独立活动,N/A,其他,N/A,漫画,纯艺术,N/A,N/A,作者:南美小白
ID_0918,2015.06.01,AMNUA毕业展丨设计展引来关注热潮，展出作品遭严重破坏,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0919,2015.06.02,AMNUA零度艺评丨郑闻：注视这片坠海处的风景,学术评论/言论,文章/论文,综合,系列活动,零度艺评,学术研究,N/A,综合,跨学科/泛文化,N/A,N/A,作者:郑闻
ID_0920,2015.06.02,AMNUA毕业季丨最美的那把伞，和与你一起躲过雨的美术馆,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0921,2015.06.02,AMNUA专题丨艺术范＆梁田：白衬衫就是秘密武器,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:南美小白
ID_0922,2015.06.03,AMNUA展评丨陈漫的“东——西”,展览,线下展览,水墨,独立活动,N/A,艺术展览,N/A,水墨,纯艺术,N/A,线上活动,作者:大卫·帕格尔
ID_0923,2015.06.03,AMNUA毕业生丨设院公共窦号：艺术应该走出美术馆,其他,N/A,雕塑,独立活动,N/A,其他,N/A,雕塑,纯艺术,N/A,N/A,N/A
ID_0924,2015.06.03,AMNUA调研丨设计学：日常生活研究,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,公共空间,作者:李国庆; 作者:赵日兵; 作者:仇艳雯; 作者:金心怡; 作者:孙瑚瑚; 作者:钟天赐; 作者:薛春儒
ID_0925,2015.06.03,AMNUA专题丨艺术范＆YANGFAN JAME：白衬衫 黑裤子,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:文刀米
ID_0926,2015.06.04,AMNUA毕业展丨南艺2015三院毕业作品联展•传媒学院“绽放”,展览,线下展览,影像,独立活动,N/A,艺术展览,群展,影像,纯艺术,N/A,N/A,N/A
ID_0927,2015.06.04,AMNUA专题丨艺术范＆张巍 ：看秀会穿优依库,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:南美小白
ID_0928,2015.06.05,AMNUA毕业展丨南艺2015三院毕业作品联展•人文学院“传承”,展览,线下展览,综合,独立活动,N/A,艺术展览,群展,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0929,2015.06.05,AMNUA毕业生丨设院服设郑泽帆：聪明的学生会知道自己的位置,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,N/A
